Tid,Pris
2022-09-01 15:35:00,4.102
2022-09-01 15:40:00,4.114
2022-09-01 15:45:00,4.127
2022-09-01 15:50:00,4.14
2022-09-01 15:55:00,4.152
2022-09-01 16:00:00,4.165
2022-09-01 16:05:00,4.209
2022-09-01 16:10:00,4.253
2022-09-01 16:15:00,4.298
2022-09-01 16:20:00,4.342
2022-09-01 16:25:00,4.386
2022-09-01 16:30:00,4.431
2022-09-01 16:35:00,4.475
2022-09-01 16:40:00,4.519
2022-09-01 16:45:00,4.563
2022-09-01 16:50:00,4.608
2022-09-01 16:55:00,4.652
2022-09-01 17:00:00,4.696
2022-09-01 17:05:00,4.73
2022-09-01 17:10:00,4.764
2022-09-01 17:15:00,4.798
2022-09-01 17:20:00,4.832
2022-09-01 17:25:00,4.866
2022-09-01 17:30:00,4.9
2022-09-01 17:35:00,4.934
2022-09-01 17:40:00,4.968
2022-09-01 17:45:00,5.002
2022-09-01 17:50:00,5.036
2022-09-01 17:55:00,5.07
2022-09-01 18:00:00,5.104
2022-09-01 18:05:00,5.131
2022-09-01 18:10:00,5.158
2022-09-01 18:15:00,5.185
2022-09-01 18:20:00,5.212
2022-09-01 18:25:00,5.239
2022-09-01 18:30:00,5.266
2022-09-01 18:35:00,5.293
2022-09-01 18:40:00,5.32
2022-09-01 18:45:00,5.347
2022-09-01 18:50:00,5.374
2022-09-01 18:55:00,5.401
2022-09-01 19:00:00,5.429
2022-09-01 19:05:00,5.411
2022-09-01 19:10:00,5.394
2022-09-01 19:15:00,5.377
2022-09-01 19:20:00,5.36
2022-09-01 19:25:00,5.342
2022-09-01 19:30:00,5.325
2022-09-01 19:35:00,5.308
2022-09-01 19:40:00,5.291
2022-09-01 19:45:00,5.273
2022-09-01 19:50:00,5.256
2022-09-01 19:55:00,5.239
2022-09-01 20:00:00,5.222
2022-09-01 20:05:00,5.184
2022-09-01 20:10:00,5.146
2022-09-01 20:15:00,5.108
2022-09-01 20:20:00,5.07
2022-09-01 20:25:00,5.032
2022-09-01 20:30:00,4.993
2022-09-01 20:35:00,4.955
2022-09-01 20:40:00,4.917
2022-09-01 20:45:00,4.879
2022-09-01 20:50:00,4.841
2022-09-01 20:55:00,4.803
2022-09-01 21:00:00,4.765
2022-09-01 21:05:00,4.723
2022-09-01 21:10:00,4.681
2022-09-01 21:15:00,4.639
2022-09-01 21:20:00,4.596
2022-09-01 21:25:00,4.554
2022-09-01 21:30:00,4.512
2022-09-01 21:35:00,4.469
2022-09-01 21:40:00,4.427
2022-09-01 21:45:00,4.385
2022-09-01 21:50:00,4.343
2022-09-01 21:55:00,4.3
2022-09-01 22:00:00,4.258
2022-09-01 22:05:00,4.21
2022-09-01 22:10:00,4.162
2022-09-01 22:15:00,4.114
2022-09-01 22:20:00,4.066
2022-09-01 22:25:00,4.018
2022-09-01 22:30:00,3.971
2022-09-01 22:35:00,3.923
2022-09-01 22:40:00,3.875
2022-09-01 22:45:00,3.827
2022-09-01 22:50:00,3.779
2022-09-01 22:55:00,3.731
2022-09-01 23:00:00,3.683
2022-09-01 23:05:00,3.659
2022-09-01 23:10:00,3.634
2022-09-01 23:15:00,3.61
2022-09-01 23:20:00,3.586
2022-09-01 23:25:00,3.562
2022-09-01 23:30:00,3.537
2022-09-01 23:35:00,3.513
2022-09-01 23:40:00,3.489
2022-09-01 23:45:00,3.465
2022-09-01 23:50:00,3.44
2022-09-01 23:55:00,3.416
2022-09-02 00:00:00,3.392
2022-09-02 00:05:00,3.369
2022-09-02 00:10:00,3.346
2022-09-02 00:15:00,3.323
2022-09-02 00:20:00,3.299
2022-09-02 00:25:00,3.276
2022-09-02 00:30:00,3.253
2022-09-02 00:35:00,3.23
2022-09-02 00:40:00,3.207
2022-09-02 00:45:00,3.184
2022-09-02 00:50:00,3.161
2022-09-02 00:55:00,3.138
2022-09-02 01:00:00,3.114
2022-09-02 01:05:00,3.1
2022-09-02 01:10:00,3.085
2022-09-02 01:15:00,3.071
2022-09-02 01:20:00,3.056
2022-09-02 01:25:00,3.042
2022-09-02 01:30:00,3.027
2022-09-02 01:35:00,3.013
2022-09-02 01:40:00,2.998
2022-09-02 01:45:00,2.984
2022-09-02 01:50:00,2.969
2022-09-02 01:55:00,2.955
2022-09-02 02:00:00,2.94
2022-09-02 02:05:00,2.92
2022-09-02 02:10:00,2.9
2022-09-02 02:15:00,2.88
2022-09-02 02:20:00,2.859
2022-09-02 02:25:00,2.839
2022-09-02 02:30:00,2.819
2022-09-02 02:35:00,2.799
2022-09-02 02:40:00,2.778
2022-09-02 02:45:00,2.758
2022-09-02 02:50:00,2.738
2022-09-02 02:55:00,2.718
2022-09-02 03:00:00,2.697
2022-09-02 03:05:00,2.715
2022-09-02 03:10:00,2.733
2022-09-02 03:15:00,2.751
2022-09-02 03:20:00,2.769
2022-09-02 03:25:00,2.787
2022-09-02 03:30:00,2.806
2022-09-02 03:35:00,2.824
2022-09-02 03:40:00,2.842
2022-09-02 03:45:00,2.86
2022-09-02 03:50:00,2.878
2022-09-02 03:55:00,2.896
2022-09-02 04:00:00,2.914
2022-09-02 04:05:00,2.947
2022-09-02 04:10:00,2.98
2022-09-02 04:15:00,3.013
2022-09-02 04:20:00,3.047
2022-09-02 04:25:00,3.08
2022-09-02 04:30:00,3.113
2022-09-02 04:35:00,3.146
2022-09-02 04:40:00,3.18
2022-09-02 04:45:00,3.213
2022-09-02 04:50:00,3.246
2022-09-02 04:55:00,3.28
2022-09-02 05:00:00,3.313
2022-09-02 05:05:00,3.367
2022-09-02 05:10:00,3.42
2022-09-02 05:15:00,3.474
2022-09-02 05:20:00,3.528
2022-09-02 05:25:00,3.581
2022-09-02 05:30:00,3.635
2022-09-02 05:35:00,3.689
2022-09-02 05:40:00,3.743
2022-09-02 05:45:00,3.796
2022-09-02 05:50:00,3.85
2022-09-02 05:55:00,3.904
2022-09-02 06:00:00,3.957
2022-09-02 06:05:00,3.978
2022-09-02 06:10:00,4.0
2022-09-02 06:15:00,4.021
2022-09-02 06:20:00,4.042
2022-09-02 06:25:00,4.063
2022-09-02 06:30:00,4.084
2022-09-02 06:35:00,4.105
2022-09-02 06:40:00,4.126
2022-09-02 06:45:00,4.147
2022-09-02 06:50:00,4.168
2022-09-02 06:55:00,4.189
2022-09-02 07:00:00,4.21
2022-09-02 07:05:00,4.22
2022-09-02 07:10:00,4.23
2022-09-02 07:15:00,4.24
2022-09-02 07:20:00,4.25
2022-09-02 07:25:00,4.26
2022-09-02 07:30:00,4.269
2022-09-02 07:35:00,4.279
2022-09-02 07:40:00,4.289
2022-09-02 07:45:00,4.299
2022-09-02 07:50:00,4.309
2022-09-02 07:55:00,4.319
2022-09-02 08:00:00,4.328
2022-09-02 08:05:00,4.296
2022-09-02 08:10:00,4.264
2022-09-02 08:15:00,4.232
2022-09-02 08:20:00,4.199
2022-09-02 08:25:00,4.167
2022-09-02 08:30:00,4.135
2022-09-02 08:35:00,4.103
2022-09-02 08:40:00,4.07
2022-09-02 08:45:00,4.038
2022-09-02 08:50:00,4.006
2022-09-02 08:55:00,3.973
2022-09-02 09:00:00,3.941
2022-09-02 09:05:00,3.921
2022-09-02 09:10:00,3.901
2022-09-02 09:15:00,3.881
2022-09-02 09:20:00,3.861
2022-09-02 09:25:00,3.841
2022-09-02 09:30:00,3.821
2022-09-02 09:35:00,3.801
2022-09-02 09:40:00,3.781
2022-09-02 09:45:00,3.761
2022-09-02 09:50:00,3.741
2022-09-02 09:55:00,3.72
2022-09-02 10:00:00,3.7
2022-09-02 10:05:00,3.649
2022-09-02 10:10:00,3.597
2022-09-02 10:15:00,3.545
2022-09-02 10:20:00,3.494
2022-09-02 10:25:00,3.442
2022-09-02 10:30:00,3.39
2022-09-02 10:35:00,3.339
2022-09-02 10:40:00,3.287
2022-09-02 10:45:00,3.235
2022-09-02 10:50:00,3.184
2022-09-02 10:55:00,3.132
2022-09-02 11:00:00,3.08
2022-09-02 11:05:00,2.999
2022-09-02 11:10:00,2.918
2022-09-02 11:15:00,2.836
2022-09-02 11:20:00,2.755
2022-09-02 11:25:00,2.674
2022-09-02 11:30:00,2.593
2022-09-02 11:35:00,2.511
2022-09-02 11:40:00,2.43
2022-09-02 11:45:00,2.349
2022-09-02 11:50:00,2.267
2022-09-02 11:55:00,2.186
2022-09-02 12:00:00,2.105
2022-09-02 12:05:00,2.092
2022-09-02 12:10:00,2.079
2022-09-02 12:15:00,2.066
2022-09-02 12:20:00,2.053
2022-09-02 12:25:00,2.04
2022-09-02 12:30:00,2.027
2022-09-02 12:35:00,2.014
2022-09-02 12:40:00,2.002
2022-09-02 12:45:00,1.989
2022-09-02 12:50:00,1.976
2022-09-02 12:55:00,1.963
2022-09-02 13:00:00,1.95
2022-09-02 13:05:00,1.951
2022-09-02 13:10:00,1.952
2022-09-02 13:15:00,1.953
2022-09-02 13:20:00,1.954
2022-09-02 13:25:00,1.955
2022-09-02 13:30:00,1.957
2022-09-02 13:35:00,1.958
2022-09-02 13:40:00,1.959
2022-09-02 13:45:00,1.96
2022-09-02 13:50:00,1.961
2022-09-02 13:55:00,1.962
2022-09-02 14:00:00,1.963
2022-09-02 14:05:00,1.992
2022-09-02 14:10:00,2.02
2022-09-02 14:15:00,2.049
2022-09-02 14:20:00,2.077
2022-09-02 14:25:00,2.106
2022-09-02 14:30:00,2.134
2022-09-02 14:35:00,2.163
2022-09-02 14:40:00,2.191
2022-09-02 14:45:00,2.22
2022-09-02 14:50:00,2.248
2022-09-02 14:55:00,2.277
2022-09-02 15:00:00,2.306
2022-09-02 15:05:00,2.341
2022-09-02 15:10:00,2.377
2022-09-02 15:15:00,2.413
2022-09-02 15:20:00,2.448
2022-09-02 15:25:00,2.484
2022-09-02 15:30:00,2.52
2022-09-02 15:35:00,2.555
2022-09-02 15:40:00,2.591
2022-09-02 15:45:00,2.627
2022-09-02 15:50:00,2.662
2022-09-02 15:55:00,2.698
2022-09-02 16:00:00,2.734
2022-09-02 16:05:00,2.809
2022-09-02 16:10:00,2.885
2022-09-02 16:15:00,2.96
2022-09-02 16:20:00,3.036
2022-09-02 16:25:00,3.111
2022-09-02 16:30:00,3.187
2022-09-02 16:35:00,3.262
2022-09-02 16:40:00,3.338
2022-09-02 16:45:00,3.413
2022-09-02 16:50:00,3.489
2022-09-02 16:55:00,3.564
2022-09-02 17:00:00,3.64
2022-09-02 17:05:00,3.678
2022-09-02 17:10:00,3.715
2022-09-02 17:15:00,3.753
2022-09-02 17:20:00,3.79
2022-09-02 17:25:00,3.828
2022-09-02 17:30:00,3.866
2022-09-02 17:35:00,3.903
2022-09-02 17:40:00,3.941
2022-09-02 17:45:00,3.979
2022-09-02 17:50:00,4.016
2022-09-02 17:55:00,4.054
2022-09-02 18:00:00,4.091
2022-09-02 18:05:00,4.106
2022-09-02 18:10:00,4.121
2022-09-02 18:15:00,4.137
2022-09-02 18:20:00,4.152
2022-09-02 18:25:00,4.167
2022-09-02 18:30:00,4.182
2022-09-02 18:35:00,4.197
2022-09-02 18:40:00,4.212
2022-09-02 18:45:00,4.227
