,Image,Manufacturer,Model,Chip,Operating Frequency,Transmit Power,Motion Range,Presence Range,Detection Angle,Operating Voltage,Current,Inteface,Pins Spacing,Size(WxH),Capabilities,Price(USD),ESPHome Support,Availability
37,https://smarthomescene.com/wp-content/uploads/2024/06/mmwave-radar-modules-micradar-R24AVD1.jpg,MicRadar,R24AVD1,,24GHz,6dBm,12m,4m,90×60°,4.5-6V,,,2.00mm,35x30mm,,,/,"[AliExpress](https://s.click.aliexpress.com/e/_DFTYMsB), [Amazon](https://amzn.to/3XsyL5H)"
38,https://smarthomescene.com/wp-content/uploads/2024/06/mmwave-radar-modules-micradar-R24BBD1.jpg,MicRadar,R24BBD1,,24GHz,6dBm,2.75m,1.5m,40×40°,4.5-6V,,,2.00mm,45x26mm,,,/,[AliExpress](https://s.click.aliexpress.com/e/_DdoIvkx)
39,https://smarthomescene.com/wp-content/uploads/2024/06/mmwave-radar-modules-micradar-R24DVD1.jpg,MicRadar,R24DVD1,,24GHz,8dBm,9m,6m,90×60°,4.5-6V,,,2.00mm,35x30mm,,,/,[AliExpress](https://s.click.aliexpress.com/e/_DkytVDN)
40,https://smarthomescene.com/wp-content/uploads/2024/06/mmwave-radar-modules-micradar-R60ABD1.jpg,MicRadar,R60ABD1,,60GHz,6dBm,2m,2m,40×40°,4.5-6V,,,2.00mm,35x30mm,,,/,[AliExpress](https://s.click.aliexpress.com/e/_DmF1Gbp)
41,https://smarthomescene.com/wp-content/uploads/2024/06/mmwave-radar-modules-micradar-R60AFD1.jpg,MicRadar,R60AFD1,,60GHz,6dBm,3m,2.2m,100×100°,4.5-6V,,,2.00mm,35x30mm,,,/,[AliExpress](https://s.click.aliexpress.com/e/_DCFwEBD)
42,https://smarthomescene.com/wp-content/uploads/2024/06/mmwave-radar-modules-micradar-R60AFD2.jpg,MicRadar,R60AFD2,,60GHz,6dBm,2.4m,2m,100×100°,4.5-6V,,,2.00mm,35x30mm,,,/,AliExpress
43,https://smarthomescene.com/wp-content/uploads/2024/06/mmwave-radar-modules-micradar-R60AHA1.jpg,MicRadar,R60AHA1,,60GHz,6dBm,1m,1m,100×100°,4.5-6V,,,2.00mm,35x30mm,,,/,AliExpress
44,https://smarthomescene.com/wp-content/uploads/2024/06/mmwave-radar-modules-micradar-R60AMP1.jpg,MicRadar,R60AMP1,,60GHz,6dBm,10m,6m,100×100°,4.5-6V,,,2.00mm,35x30mm,,,/,AliExpress
45,https://smarthomescene.com/wp-content/uploads/2024/06/mmwave-radar-modules-micradar-R60APS1.jpg,MicRadar,R60APS1,,60GHz,6dBm,12m,6m,100×100°,4.5-6V,,,2.00mm,35x30mm,,,/,AliExpress
46,https://smarthomescene.com/wp-content/uploads/2024/06/mmwave-radar-modules-micradar-R60ATR1.jpg,MicRadar,R60ATR1,,60GHz,6dBm,3m,3m,100×100°,4.5-6V,,,2.00mm,35x30mm,,,/,AliExpress
47,https://smarthomescene.com/wp-content/uploads/2024/06/mmwave-radar-modules-micradar-R60ATR2.jpg,MicRadar,R60ATR2,,60GHz,6dBm,10m,6m,100×100°,4.5-6V,,,2.00mm,35x30mm,,,/,[AliExpress](https://s.click.aliexpress.com/e/_DknJOOn)
48,https://smarthomescene.com/wp-content/uploads/2024/06/mmwave-radar-modules-micradar-R77ABH1.jpg,MicRadar,R77ABH1,,77GHz,10dBm,2m,2m,30×30°,4.5-6V,,,2.00mm,60x45mm,,,/,"[AliExpress](https://s.click.aliexpress.com/e/_DEdDMKR), [Amazon](https://amzn.to/45TEmnx)"
49,https://smarthomescene.com/wp-content/uploads/2024/06/mmwave-radar-modules-seed-studio-mr24hpc1.jpg,Seed Studio,MR24HPC1,,24GHz,8dBm,5m,4m,90×60°,4.5-6V,,,2.00mm,35x30mm,,,[Github](https://github.com/thefipster/esphome-mmwave-sensors),[Seed Studio](https://www.seeedstudio.com/24GHz-mmWave-Sensor-Human-Static-Presence-Module-Lite-p-5524.html)
